Gender,Race,Meters,First Name,Last Name,State,Age,Seconds,Date,Age Grade ,Minutes,minute_mile
M,5K,5000,Warren,Utes,IL,76,1180,10/5/1996,0.981,19.67,6.33114356
M,5K,5000,Warren,Utes,IL,81,1319,9/15/2001,0.98,21.98,7.07465864
M,5K,5000,Warren,Utes,IL,70,1081,9/30/1990,0.979,18.02,5.80006136
M,5K,5000,Warren,Utes,IL,75,1164,9/30/1995,0.977,19.4,6.2442392
M,5K,5000,Dennis,Simonaitis,UT,47,885,4/1/2010,0.976,14.75,4.747553
M,5K,5000,Peter,Magill,CA,49,900,1/8/2011,0.976,15,4.82802
M,5K,5000,Jack,Nelson,IL,59,981,9/12/1998,0.972,16.35,5.2625418
M,5K,5000,Peter,Magill,CA,47,889,1/12/2009,0.972,14.82,4.77008376
M,5K,5000,Nolan,Shaheed,CA,59,988,12/13/2008,0.966,16.47,5.30116596
M,5K,5000,Peter,Magill,CA,46,890,4/8/2008,0.963,14.83,4.77330244
M,5K,5000,Gary,Romesser,IN,55,957,9/16/2006,0.963,15.95,5.1337946
M,5K,5000,Warren,Utes,IL,74,1165,5/20/1995,0.96,19.42,6.25067656
M,5K,5000,Dennis,Simonaitis,UT,48,908,3/26/2011,0.959,15.13,4.86986284
M,5K,5000,Dennis,Simonaitis,UT,45,887,4/6/2008,0.959,14.78,4.75720904
M,5K,5000,Dick,Buerkle,GA,52,938,9/11/1999,0.958,15.63,5.03079684
M,5K,5000,Nolan,Shaheed,CA,54,954,3/28/2004,0.958,15.9,5.1177012
M,5K,5000,Peter,Magill,CA,50,924,7/4/2011,0.958,15.4,4.9567672
M,8K,8000,Ed,Benham,MD,84,2276,3/21/1992,1.018,37.93,7.630283275
M,8K,8000,Ed,Benham,MD,82,2203,1/13/1990,0.991,36.72,7.3868706
M,8K,8000,Jim,O'Neill,OH,54,1538,9/20/1992,0.977,25.63,5.155923025
M,8K,8000,Warren,Utes,IL,75,1912,7/4/1995,0.977,31.87,6.411208225
M,8K,8000,Dennis,Simonaitis,UT,47,1454,3/20/2010,0.977,24.23,4.874288525
M,8K,8000,Ed,Benham,MD,81,2195,3/18/1989,0.968,36.58,7.35870715
M,8K,8000,Warren,Utes,IL,77,2007,7/12/1997,0.966,33.45,6.729052875
M,8K,8000,Dennis,Simonaitis,UT,44,1444,3/17/2007,0.961,24.07,4.842101725
M,8K,8000,Ed,Benham,MD,78,2061,9/29/1985,0.961,34.35,6.910103625
M,8K,8000,Norm,Green,PA,52,1542,6/27/1984,0.958,25.7,5.17000475
M,8K,8000,John,Tuttle,GA,40,1405,3/28/1999,0.958,23.42,4.71134285
M,8K,8000,Dick,Buerkle,GA,51,1532,3/28/1999,0.957,25.53,5.135806275
M,8K,8000,Warren,Utes,IL,74,1920,4/2/1995,0.957,32,6.43736
M,8K,8000,Warren,Utes,IL,76,1988,3/23/1997,0.957,33.13,6.664679275
M,8K,8000,Peter,Magill,CA,48,1497,6/20/2009,0.956,24.95,5.019129125
M,10K,10000,Ed,Benham,MD,84,2937,3/29/1992,0.999,48.95,7.8777193
M,10K,10000,Mbarak,Hussein,NM,45,1787,7/4/2010,0.991,29.78,4.79261452
M,10K,10000,Jim,O'Neill,OH,55,1947,9/26/1993,0.986,32.45,5.2223083
M,10K,10000,Peter,Magill,CA,50,1871,7/23/2011,0.985,31.18,5.01792212
M,10K,10000,Mbarak,Hussein,NM,42,1761,7/4/2007,0.982,29.35,4.7234129
M,10K,10000,Warren,Utes,IL,75,2412,9/17/1995,0.981,40.2,6.4695468
M,10K,10000,Dennis,Simonaitis,UT,45,1808,9/23/2007,0.98,30.13,4.84894142
M,10K,10000,Ed,Benham,MD,83,2909,4/21/1991,0.978,48.48,7.80208032
M,10K,10000,Jim,O'Neill,OH,56,1979,9/25/1994,0.978,32.98,5.30760332
M,10K,10000,Mbarak,Hussein,NM,46,1834,4/23/2011,0.973,30.57,4.91975238
M,10K,10000,Ray,Hatton,OR,51,1911,5/7/1983,0.972,31.85,5.1257479
M,10K,10000,Jim,O'Neil,CA,60,2067,8/4/1985,0.969,34.45,5.5441763
M,10K,10000,Warren,Utes,IL,78,2586,9/7/1998,0.969,43.1,6.9362554
M,10K,10000,Ray,Hatton,OR,49,1886,9/26/1981,0.969,31.43,5.05815562
M,10K,10000,Clive,Davies,OR,68,2224,8/12/1983,0.969,37.07,5.96582338
